06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.6 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0.6 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
06/04/2011; AMVA ; SAB-Centro Adtvo. ; Automática ; 6.153472 ; -75.619556 ; 5 ; ANTIOQUIA ; 5631 ; SABANETA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
